# Exult Usecode Dialogue Translation Dictionary
# English source<TAB>Chinese translation
# Generated: 2026-06-17 10:30:00
# Entries: 11391
#
# To deploy: Copy this file to your Exult <PATCH>/ directory
# as 'usecode_translations.txt'.
#
# Lines starting with '#' are comments.
# Format: English source text<tab>Chinese translation text
============================================================

! And good luck to thee!"*	「祝你好運！」*
! Fly from this place at once! I shall provide escort for thee with my bow. Return at thy peril,	「快離開這裡！我會用我的弓護送你離開。再回來就要冒險了！」
! Help me!!"	「幫幫我！！」
! However, thou mayest have some trouble convincing those who do not know thy face.~~"Of course, thou -shouldst- be safe around thy friends!"	「但是，你可能會遇到一些麻煩，因為有些人不認識你。」~~「當然，你應該在朋友身邊很安全！」
! I admit I do sell Silver Serpent Venom to other places besides the Apothecary. But what I am doing is not -precisely- against the law!"	「我承認，我賣銀蛇毒給其他地方的藥劑師。但是，我做的事情不是完全違法！」
! I earn my gold with this sword arm," he says as he flexes a mighty bicep. "Right now I am in Jhelom continuing my studies in my trade with De Snel, and when I am finished my price is going to go up!"	「我靠這把劍來賺取金幣，」他說，同時展示他的強壯手臂。「現在，我在傑洛姆繼續我的學徒生涯，當我完成後，我的價格就會上漲！」
! I shall never miss New Magincia!"	「我永遠不會錯過新馬吉尼亞！」
! I would wager that thou dost say that to all the barmaids!"	「我想，你對所有的酒吧女服務員都這麼說！」
! If I did not trust the infallibility of mine own eyes, I would not believe it! I was just thinking to myself, 'If only the Avatar were here!' Then...~~"Lo and behold! Who says that magic is dying! Here is living proof that it is not!~~ "Dost thou realize,	「如果我不相信自己的眼睛，我就不會相信！我剛剛在想，『如果只有阿凡達在這裡！』然後……~~「看哪！誰說魔法正在消失！這裡就是活生生的證據！」~~「你知道嗎，」他說，「如果不是你，我就會迷失了。」
! If not for thee, I would be lost."	「如果不是你，我就會迷失了。」
! If thou wilt leave something behind, mayhaps thou wilt be able to sail, and I will be glad, indeed, to sell thee the deed."~Gargan sneezes.	「如果你願意留下什麼東西，可能你就能夠航行，我會很高興地賣給你這份契約。」~加爾根打了個噴嚏。
! It is hearsay!"*	「這只是傳聞！」*
! Mine husband was pardoned by Lord British. He even provided Weston with short-term employment so that he may return to me with money enough in his pockets to feed us for some time!~~"Excellent news, no?"	! 我的丈夫被布列塔尼亞王赦免了，他甚至提供了韋斯頓短期的工作機會，這樣他就可以帶著足夠的錢回來養活我們一段時間！~~"這是個好消息，不是嗎？"
! Perhaps honesty shall lift thee above the	! 也許誠實會讓你脫離貧困
! That means I owe thee	! 這意味著我欠你
! The box is open! Certainly, one as diligent as thee could not have been robbed?"	! 盒子打開了！你這麼勤奮的人不可能被搶劫吧？"
! Thou	! 你
! Thou didst just enjoy thyself, didst thou not? Please come back when thou art rested!"*	! 你只是在享受自己吧？請休息一下再回來吧！"*
! Thy soul shall wail in the catacombs of the netherworld!"	! 你的靈魂將在陰間的墓穴中哀號！"
! Who knows what evil this strange creature might possess!" He inspects the sprite more closely. "Mayhaps I should try it first to be sure it is safe..."*	! 誰知道這個奇怪的生物可能會帶來什麼邪惡！" 他仔細檢查精靈。 "也許我應該先試試看，以確保它是安全的..."*
! You damn	! 你這個該死的
! You have nothing to lose but your	! 你沒有什麼可失去的，只有你的
!" Katrina greets you with a smile.	!" 卡特琳娜帶著微笑迎接你。
!" Nastassia says.	!" 納斯塔西婭說。
!" Sherry the Mouse exclaims.	!" 謝里老鼠驚呼。
!" says a wide-eyed Constance, "What may I do for thee?"	!" 一個目瞪口呆的康斯坦斯說，"我可以為你做什麼？"
"'Bye!"*	!"別了！"*
"'Tis doom! 'Tis despair! 'Tis death! ~My beloved wife is gone! ~Disease has taken her away ~And left me with but a song."	"'這真是末日！這真是絕望！這真是死亡！ ~我的愛妻離開了我！ ~疾病奪走了她的生命 ~並留下我一個人，除了這首歌。"
"'Tis good news indeed, milady."	"'這真是好消息啊，夫人。"
"'Tis good to hear that thou art well. Do not hesitate to come and see me if thou dost need healing of any kind."	"'很高興聽到你一切都好。如果你需要任何治療，請不要猶豫來找我。"
"'Tis good to meet thee!"	"'很高興認識你！"
"'Tis his favorite passtime. He begs, pleads, and threatens me to free him from that stupid mirror. Believe me, if I could I would have done it long ago." Erethian's lined face shows his chagrin.	"'這是他的最愛。 他一直央求、乞求、威脅我把他從那個愚蠢的鏡子裡放出來。相信我，如果我能做到，我早就這樣做了。"埃雷希安的臉上滿是沮喪。
"'Tis important that thou art comfortable whilst visiting The Baths."	"'你在訪問浴場的時候一定要感到舒適。"
"'Tis in the building just northeast of the Brotherhood. I know they keep prisoners there."	"'它就在兄弟會東北邊的建築物裡。我知道他們在那裡關押囚犯。"
"'Tis in the western end of the castle."	"'它在城堡的西邊。"
"'Tis located on an island in south Britannia near Serpent's Hold. Most new Fellowship members spend some time down there learning the tenets of the group. One can also learn to hear 'the voice' at the retreat."	"'它位於南不列顛尼亞近塞倫特之堡的一個島上。大多數新加入的兄弟會成員都會在那裡花一些時間學習兄弟會的教義。人們也可以在那裡學會聽到'聲音'。"
"'Tis money well spent, thou shalt see! I shall begin work immediately. I will be building based upon some of my more recent designs. I shall give thee thy ship's deed in advance"	"'這是花得值得的錢，你會看到！我將開始工作。我將基於一些我最近的設計來建造。我將提前給你你的船的契據。"
"'Tis my weapon of choice. It takes a keen eye and a steady arm to shoot accurately. I think it has more finesse than a sword or a spear, for example."	"'這是我選擇的武器。它需要一雙敏銳的眼睛和一隻穩定的手臂來射擊準確。我認為它比劍或矛更有技巧，因為它需要更多的技巧。"
"'Tis no time for idle chatter! There have been two people murdered over at William's sawmill!"	"'現在不是閒聊的時候！在威廉的鋸木廠裡發生了兩起謀殺案！"
"'Tis not a problem,	"'這不是問題，
"'Tis not all thou wert a connoisseur of," adds Paulette, eyes twinkling. "I seem to remember thou had quite a taste for redheads."	"'Tis not all thou wert a connoisseur of," adds Paulette, eyes twinkling. "I seem to remember thou had quite a taste for redheads." -> [588] "'Tis not all thou wert a connoisseur of," Paulette補充道，眼中閃著光芒。 "我似乎記得你曾經對紅髮女郎有著濃厚的興趣。"
"'Tis not here... Oh well, Zelda must have put it back on the shelf." He sighs.	"'Tis not here... Oh well, Zelda must have put it back on the shelf." He sighs. -> [589] "'Tis not here... 哦，算了，Zelda一定把它放回書架上了。" 他嘆了口氣。
"'Tis not that I do not trust him. I just wonder about his ability to run the town. His name is Auston. Talk to him and see for thyself what thou thinkest. Better yet, talk to his clerk, Liana."	"'Tis not that I do not trust him. I just wonder about his ability to run the town. His name is Auston. Talk to him and see for thyself what thou thinkest. Better yet, talk to his clerk, Liana." -> [590] "'Tis not that I do not trust him. 我只是對他管理城鎮的能力有些疑慮。他的名字叫Auston。你去跟他談談，看看你自己覺得如何。更好的是，去跟他的文員Liana談談。"
"'Tis on the house." Charles hands you and your friends glasses of wine.	"'Tis on the house." Charles hands you and your friends glasses of wine. -> [591] "'Tis on the house." Charles遞給你和你的朋友們各一杯酒。
"'Tis said love is a fiery angel,~"Riding soft silk wings of pure redemption,~"My puppet's heart still as an anvil,~"At the wicked thrill of her attention.~"By mine angel Nell I am anointed,~"Humble cowardice felled by Passion's blade,~"As her beloved I was hence appointed,~"Perchance through destiny a marriage made."	"'Tis said love is a fiery angel,~"Riding soft silk wings of pure redemption,~"My puppet's heart still as an anvil,~"At the wicked thrill of her attention.~"By mine angel Nell I am anointed,~"Humble cowardice felled by Passion's blade,~"As her beloved I was hence appointed,~"Perchance through destiny a marriage made." -> [592] "'Tis said love is a fiery angel,~"騎乘純淨救贖的柔軟絲翼，~"我的傀儡的心仍如一座鐵砧，~"在她邪惡的關注中，我感到一絲興奮。~"由我的天使Nell所膏立，~"謙卑的懦弱被激情的刀劍擊倒，~"作為她的愛人，我被任命為如此，~"也許通過命運，我們的婚姻得以締結。"
"'Tis said that indeed many strange things happen at this bar. As of late, in addition to being an inn and a pub, where thou mayest buy fine food and drink, it has become a betting parlor."	"'Tis said that indeed many strange things happen at this bar. As of late, in addition to being an inn and a pub, where thou mayest buy fine food and drink, it has become a betting parlor." -> [593] "'Tis said that indeed many strange things happen at this bar. 最近，這裡除了是一間客棧和酒館，你還可以買到美味的食物和飲料之外，還變成了賭博場所。"
"'Tis strange! I thought for certain that thou wert the theatrical type!"	"'Tis strange! I thought for certain that thou wert the theatrical type!" -> [594] "'Tis strange! 我本以為你一定是那種喜歡表演的人!"
"'Tis that wand-like thing. It was supposed to magnetize and magically transmute blackrock, but it doth not work correctly. Try pointing it at a piece of blackrock and thou wilt see what I mean. But do not stand too close! Thou art welcome to take it if thou dost want a piece of garbage!"	"'Tis that wand-like thing. It was supposed to magnetize and magically transmute blackrock, but it doth not work correctly. Try pointing it at a piece of blackrock and thou wilt see what I mean. But do not stand too close! Thou art welcome to take it if thou dost want a piece of garbage!" -> [595] "'Tis that wand-like thing. 這東西原本應該能夠磁化並且用魔法轉化黑岩，但它沒有正確地運作。試著把它指向一塊黑岩，你就會明白我的意思。但是不要站得太近！如果你想要這個垃圾，你可以拿走它。"
"'Tis the name of a particular hero of mine."	"'Tis the name of a particular hero of mine." -> [596] "'Tis the name of a particular hero of mine." -> [596] "'Tis 我心目中的某位英雄的名字。"
"'Tis thine!"	"'Tis thine!" -> [597] "'Tis 是你的!"
"'Tis thine,	"'Tis thine, -> [598] "'Tis 是你的，
"'Tis thy choice... and thy mistake!"	"'Tis thy choice... and thy mistake!" -> [599] "'Tis 你的選擇……也是你的錯誤!"
"'Tis thy loss."	"'Tis thy loss." -> [600] "'Tis 你的損失。"
"'Tis time for us to depart,	"'Tis time for us to depart, -> [601] "'Tis 我們該離開的時候了，
"'Tis too bad he is dead. I have heard many compliment his abilities as a leader at the mines."	"'Tis too bad he is dead. I have heard many compliment his abilities as a leader at the mines." -> [602] "'Tis 可惜他已經死了。我聽說很多人都讚揚他在礦場領導的能力。
"'Tis true! Trust was the key to my freedom!"*	"'真相大白！信任是我獲得自由的關鍵！"*
"'Tis true, Sir Jordan. He is the Avatar."*	"'真相是如此，約旦爵士。他就是阿瓦塔。"*
"'Tis truly a fantastic group of people,	"'這群人實在太棒了，
"'Twas a joke,	"'那只是個玩笑，
"'Twas a thriving town -- before I destroyed it!" His jaw tightens and his face clenches. "Why? Why, why, why!" He again gasps in agony, but quickly regains control.~~"There were so many innocent people," he says, staring directly at you. "I cannot believe I am responsible for all their deaths."	"'這曾是一個繁榮的城鎮 -- 直到我毀了它！" 他緊咬牙關，臉孔扭曲。"為什麼？為什麼，為什麼？" 他再度痛苦地喘息，但很快恢復控制。~~"那裡有許多無辜的人，" 他直視你說。"我無法相信我要為所有他們的死亡負責。"
"'Twas before I came to Trinsic. There was a murder with strikingly similar aspects. A body was found mutilated exactly like poor Christopher. It appeared to be a ritualistic killing. I would wager that whoever was responsible for that murder is the culprit behind this one."	"'那是在我來到特里尼西之前。有一起兇殺案的細節與這次相似。屍體被發現遭到與可憐的克里斯多福相同的殘忍對待。看起來像是儀式殺人。我敢打賭，誰負責那次兇殺就是這次兇殺的兇手。"
"'Twas but a simple mixture of a few ingredients. It should have worked." Her eyes narrow.~~"I expect that mayor of ours, Forsythe, fouled things up!"	"'只不過是一些成分的簡單混合。應該有效。" 她的眼睛眯起。~~"我想那個市長福斯威一定搞砸了事情！"
"'Twas just here..." he scratches his chin. "Oh well, never mind."	"'就在這裡..." 他搔搔下巴。"哦，算了。"
"'Twas so long ago that I barely remember. A smattering of curing, a dash of a potion of invisibility, and... that's right, a -ton- of the essence of mandrake root!"	"'那已經是很久以前的事了，我幾乎不記得。一些治療的藥劑，一些隱形藥水的藥劑，還有...就是了，大量的曼德拉克根精華！"
"'Twas the doom of this town, although I place no blame upon the alchemist, Caine. For I was the one who told him the recipe that I am sure will rid us of Horance the Liche."	"'這就是這個城鎮的厄運，雖然我不怪罪煉金術士凱恩。因為我就是告訴他我確定能除掉霍蘭斯巫妖的配方的人。"
"'Twas very kind of thee to release me from my cell. I shall now return to my former life. Good day!"*	"'你放我出監牢真是太好了。現在我要回到我以前的生活。再見！"*
"'Twill cost thee 2 gold each. Still interested?"	"'這將花費你每個2金幣。還有興趣嗎？"
"'Twill cost thee 3 gold each. Still interested?"	"'這將花費你每個3金幣。還有興趣嗎？"
"'Twill cost thee 4 gold each. Still interested?"	"'這將花費你每個4金幣。還有興趣嗎？"
"'Twould appear,	"'看起來，
"'Twould be a pleasure. However, I must be prudent and save the ale for when we need it."*	"'真是一個愉快的想法。然而，我必須謹慎地保存這些酒，直到我們需要它的時候。"*
"'Twould be good to share a joke or two with him!"	"'真是一個好主意，和他分享幾個笑話！"
"'Twould mean more wert thou Iolo!"*	"'真是一個好主意，若是你是 Iolo 的話！"*
"'Twould seem that someone," he pauses dramatically, "let that slip into a volcano..." His wry smile belies his careless tone.	"'看起來有人，" 他戲劇性地停頓了一下，"讓那東西掉進火山裡了……" 他的詼諧笑容與他輕描淡寫的語氣形成了對比。
"'Xorinia' always responds to free information. Transaction complete."*	"'Xorinia' 總是會回應免費的資訊。交易完成。"*
"'Xorinia' always welcomes the exchange of information. Farewell."*	"'Xorinia' 總是歡迎資訊的交換。再見。"*
"'Xorinia' has digested information about 'The Guardian' and can state the following facts:~~"'The Guardian' possesses qualities which human entities label 'vain', 'greedy', 'egocentric', and 'malevolent'. 'The Guardian' thrives on power and domination. 'The Guardian' takes 'pleasure' from conquering other worlds. His sensory organs are now focused on 'this' dimension known as 'Britannia'.~~"'The Guardian' is attempting to enter 'this' dimension by means of an item human entities call a 'Moongate'. This 'Moongate' is not a 'red' color or 'blue' color 'Moongate', which 'Xorinia' knows is the standard form of this item. 'The Guardian' is building a 'Moongate' of the color 'black'."	"'Xorinia' 已經消化了關於 'The Guardian' 的資訊，可以說明以下事實：~~"'The Guardian' 擁有人類實體所標籤的 '自大'、'貪婪'、'自我中心' 和 '惡意' 的特質。 'The Guardian' 在權力和支配中茁壯成長。 'The Guardian' 從征服其他世界中得到 '快樂'。 他現在的感官器官集中在這個被稱為 'Britannia' 的維度上。~~"'The Guardian' 正試圖通過人類實體所稱的 'Moongate' 進入這個維度。 這個 'Moongate' 不是 'Xorinia' 所知道的標準形式的 '紅色' 或 '藍色' 'Moongate'。 'The Guardian' 正在建造一個 '黑色' 的 'Moongate'。"
"'Xorinia' is a conduit for information between different planes and dimensions. 'Xorinia' also catalogs information which is necessary for growth of the Xorinite community. 'You' have information which may be valuable to 'me'. 'I' also have information that 'you' want."	"'Xorinia' 是不同平面和維度之間資訊的傳導者。 'Xorinia' 也記錄了對 Xorinite 社區成長所需的資訊。 '你' 擁有對 '我' 有價值的資訊。 '我' 也擁有 '你' 想要的資訊。"
"'Xorinia' must deliver a message to 'you'. The entity known as 'Time Lord' requests 'your' audience. 'Time Lord' is trapped at the plane known as the Shrine of Spirituality. 'You' can reach 'him' by using 'your' object 'Orb of the Moons' in the location directly to 'your' 'northwest'.	"'Xorinia' 必須將一則消息傳遞給 '你'。被稱為 'Time Lord' 的實體請求 '你的' 觀眾。 'Time Lord' 被困在被稱為 Shrine of Spirituality 的平面上。 '你' 可以通過使用 '你' 的物品 'Orb of the Moons' 在 '你' 的 '西北' 地方找到 '他'。
"'Xorinia' recognizes 'your' hostility. 'I' shall be here should 'you' reflect upon 'your' decision and decide to change it."*	"'Xorinia' 認識到 '你的' 敵意。 '我' 將會在這裡，直到 '你' 反思 '你' 的決定並決定改變它。"*
"'Xorinia' recognizes 'your' usefulness. 'I' shall be here. Human entities will call 'my' activity 'waiting'."	"'Xorinia' 認識到 '你的' 有用性。 '我' 將會在這裡。 人類實體會稱呼 '我的' 活動為 '等待'。"
"'ello,	"'你好，
"-Really-!? I am surprised! But never mind...	"-真的！？我很驚訝！但無論如何……
"-What- study?"	"-什麼- 研究？"
"-What-?!?!"*	"-什麼-！？！"*
"...And I believed him, which shows thee how gullible I am!"	"...而我相信了他，這表明我有多麼容易上當！"
"A Passion Play is a morality tale performed on stage."	"《激情劇》（Passion Play）是一種在舞台上表演的道德故事。"
"A beggar man called Snaz will come to watch my show, ~"to steal and sell all my best jokes, mine own personal foe."	"一個叫斯納茲的乞丐會來看我的表演， ~「為了竊取並出售我的最佳笑話，我的死對頭。」"
"A better time to buy would be when my shop is open."	"更好的購買時間是我的店鋪開放時。"
"A better time to train thee would be when I am in my study."	"更好的訓練時間是當我在我的書房裡。"
"A bouquet costs 12 gold. Art thou still interested?"	"一束花要花 12 金幣。你還有興趣嗎？"
"A brilliant artist and craftsman, Russell cares little for wealth or notoriety. He is content simply building his fine ships and watching them sail."	"一位傑出的藝術家和工匠，羅素對財富或名譽毫不在乎。他只是滿足於建造他的精美船隻並觀看它們航行。"
"A crime like this has never happened in Trinsic before. I cannot believe this happened to Christopher and Inamo. Please -- explore the town! I would appreciate it if thou wouldst bring me a report on thy progress. Be sure to ask everyone in town about the murder. After speaking with Christopher's son, thou mightest next want to speak with Gilberto, the guard on watch at the dock last night."	"像這樣的罪行從未在特里尼克發生過。我無法相信這種事會發生在克里斯多福和伊納莫身上。請——探索這個城鎮！如果你能帶給我一份進度報告，我會很感激。確保詢問城鎮裡的每個人關於謀殺案。與克里斯多福的兒子交談後，你可能想與吉爾伯托交談，他是昨晚碼頭值班的衛兵。"
"A dangerous organism is the greenish slime. Acidic to touch, it will hurl pseudopods at its prey from three paces.	"一種危險的生物是綠色黏液。接觸時會產生酸性，會從三步距離內將偽足投向其獵物。"
"A fighting man named Gorn once bought a shovel from me and he told me that it saved his life."	"一個叫戈恩的戰士曾經從我這裡買了一把鏟子，他告訴我這把鏟子救了他的命。"
"A gallon will cost thee 3 gold. Art thou interested in buying some?"	"一加侖要花你 3 金幣。你有興趣買一些嗎？"
"A good day to thee,	"祝你今天好！"
"A horrible murder has occurred. If thou art truly the Avatar, perhaps thou canst help us solve it. I would feel better if thou takest this matter into thine hands. Thou shalt be handsomely rewarded if thou dost discover the name of the killer. Dost thou accept?"	"發生了一起可怕的謀殺案。如果你真是阿凡達，也許你可以幫助我們解決這個案子。如果你願意接手這件事，我會覺得更好。你將會得到豐厚的獎勵，如果你能發現兇手的名字。你接受嗎？"
"A living that would not have been anything near as profitable if not for thy good works, Battles."*	"如果不是你的好作品，巴特爾斯，這將不是一種如此有利可圖的生計。"*
"A local rascal. I normally would not allow Garritt to associate with such a troublemaker, but The Fellowship has taught me to be a tolerant parent. Besides, associating with my son might do the lad some good. Who knows?"	"一個當地的流氓。我通常不會讓加里特與這樣的麻煩製造者來往，但《團契》教導我要成為一個寬容的父親。況且，與我的兒子來往可能會對這個男孩有一些好處。誰知道呢？"
"A long-standing and profitable business. A shame it will become more renowned for the murders that were committed there than for any of the fine work it does."	"一家歷史悠久且利潤豐厚的企業。可惜它將因為發生在那裡的兇殺案而聞名，而不是因為它所做的任何優秀工作。"
"A malformed flying horror. Thou wouldst not want to meet one."	"一種畸形的飛行恐怖生物。汝不想遇到它。"
